"IND"	"OLE"	"ANS"	"LAD"	"CRN"	"NOR"	"RHT"	"HET"	"SIN"	"PLB"	"TOA"	"AAL"	"BAJ"	"BTH"	"CAL"	"OXF"	"KIM"	"TTH"	"BER"	"VAL"	"HAU"	"BAR"	"APT"	"ALB"	"CEN"	"TUR"	"CON"	"SNT"	"CMP"	"MAS"
"Nichollssaura_borealis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"1"	NA	NA	NA	NA	NA	NA
"Nothosaurus_giganteus"	NA	NA	"1"	"1"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Nothosaurus_marchicus"	NA	NA	"1"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Nothosaurus_youngi"	NA	NA	NA	NA	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Panzhousaurus_rotundirostris"	NA	NA	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Paraplacodus_broilii"	NA	NA	"1"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Peloneustes_philarchus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Placodus_gigas"	NA	NA	"1"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Placodus_inexpectatus"	NA	NA	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Plesiopterys_wildi"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
